pid,Status,Project Address,Tel,Stewarding Chapter,Extracted State
284, current / ongoing  ," , Asha Darshan,-,Tamulpur,Assam  781367 ", 091 36 24287364  ,"",ASSAM
285, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
286, completed - requirements ended  ," , Plot No. 62, Tarate Colony, Karve Road,,,Pune,Maharashtra  411004 "," 5463259, 5446258  ","",MAHARASHTRA
287, completed - requirements ended  ," , 3731 -A,Sriram Nagar, Samantarpur, Old Town,,Bhubaneswar,Orissa  751002 ", 91 674 2340746  ,"",ODISHA
288, completed - sustainable  ," , ,,,Tamil Nadu   ", 91-4552-242653  ,"",TAMIL NADU
290, completed - requirements ended  ," , ,,Neelankarai,Tamil Nadu   ",   ,"",TAMIL NADU
291, current / ongoing  ," , Hosahalli, Beeramballi Post,H.D.Kote Taluk,Begurjungle,Karnataka  571116 ", +918228263611  ,"",KARNATAKA
292, completed - requirements ended  ," , ,,Kalladka,Karnataka   ",   ,"",KARNATAKA
293, completed - requirements ended  ," , ,,Karaikudi,Tamil Nadu   ",   ,"",TAMIL NADU
296, completed - requirements ended  ," , Mr. Jayadeva, Deenabandhu Trust, Behind Forest Nursery,P.W.D Colony,Chamarajanagar,Karnataka  571313 "," 0821-722556, 722922  ","",KARNATAKA
297, completed - requirements ended  ," , McCluskieganj,,,Jharkhand   ",   ,"",JHARKHAND
299, completed - requirements ended  ," , Gram-Lathudih PO-Ganidhinagar,,,Zila – Gazipur,Uttar Pradesh  233225 ", +91-05493-283370  ,"",UTTAR PRADESH
300, current / ongoing  ," , Mandra Lions Club,Sarada Pally, Baghmundi, Purulia, West Bengal, India,Baghmundi,West Bengal  723152 ", 9103252250381  ,"",WEST BENGAL
301, completed - requirements ended  ," , R.M.K.M. c/o Mr.Sagarmal Kaushik, 112/10, Civil Lines,,Opp. Savitri School,Ajmer,Rajasthan  305 006 ",   ,"",RAJASTHAN
302, completed - requirements ended  ," , 84 Hennur Road,,Kariyanapalya,Karnataka  560084 ",   ,"",KARNATAKA
304, completed - requirements ended  ," , Namma Mane,34 Annasandrapalya,,Vimanapura,Karnataka  560017 ", 80-5232749  ,"",KARNATAKA
306, completed - requirements ended  ," , P.O. Joka,24 Paragans,Thakurpukur,West Bengal   ",   ,"",WEST BENGAL
307, completed - requirements ended  ," , Boomtar Namchi,South Sikkim,Boomtar,Sikkim  737126 ", 91-3595-263653  ,"",SIKKIM
308, completed - requirements ended  ," , Vidya Bhawan Education Centre,Dr. Mohan Sinha Mehta Marg,,Dewali,Rajasthan  313001 ", 91-(294) 450911/ 451323/ 45149  ,"",RAJASTHAN
309, completed - sustainable  ," , 192 Dharma Vihar,,Khndagiri,,Chandanhandi block, Bhubaneswa,Orissa  751030 ", (91) 0674 - 2351051  ,"",ODISHA
310, completed - requirements ended  ," , P.Sonaimuthu, Executive Director - SAADOW,119-D/6B, Behind Central Theatre,Natham,Tamil Nadu  624 401 ", 04544 –245111  ,"",TAMIL NADU
311, Support ended.  ," , Village–Matuchauri, Post-Uchauri,,Tehsil-Saidpur, Zilla-Gazipur,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
312, proposal - received  ," , Ajay Raina c/o Raiz Sheikh - Elite Flats,Off Narayan Nagar Roadd, Near Jettabai Park Bus Stop,Paldi,Gujarat  380 007 ", 079 - 6608537  ,"",GUJARAT
318, current / ongoing  ," , UTHNAU Village Garia,P.O. Tarachuya,Mallarpur,West Bengal  700123 ", 91-33-2592-3951  ,"",WEST BENGAL
319, completed - requirements ended  ," , ,,Jherli,Rajasthan   ",   ,"",RAJASTHAN
323, Proposal - Closed  ," , VIII - Ushagram,,P.O Birnagar,,West Bengal  741 127 ", + 91 (0) 4373 60283  ,"",WEST BENGAL
324, completed - requirements ended  ," , Marrur Elementary School,,Village Marrur,Mandal Nakerkal,Telangana  508211 ", 08682-52699  ,"",TELANGANA
325, completed - requirements ended  ," , A-12/11,Kendriya Vihar Co-operative Housing Society Ltd.,,Kharghar,,Navi Mumbai,Maharashtra   ", 022-7651718  ,"",MAHARASHTRA
326, completed - requirements ended  ," , 630 Alanahalli, Location 404,Siddharthanagra Post,Alanahalli,Karnataka  570011 ",   ,"",KARNATAKA
327, completed - requirements ended  ," , ,,,Kerala  671531 ", 0499-703420  ,"",KERALA
328, completed - requirements ended  ," , C\O, Shri. B.V.Dalvi,,4\131,Nirmal Nagar,MHB Colony,,Bandra (East),Mumbai,Maharashtra  400051 ", O22-26475440  ,"",MAHARASHTRA
331, completed - requirements ended  ," , S-8/395, Khajuri Colony,,,Uttar Pradesh  2 ", 91-542-2504253  ,"",UTTAR PRADESH
332, completed - requirements ended  ," , 8/11,,Mannarpuram,Tamil Nadu  620020 ", 0431 - 2422121  ,"",TAMIL NADU
335, completed - requirements ended  ," , Debasis Bhawan, Near Ramji Mandir,,Smbalpur,Orissa  768001 ", 0663-400849  ,"",ODISHA
338, completed - requirements ended  ," , AID-India,Old No. 132,Avvai Shanmugam Salai,Gopalapuram,Tamil Nadu  600086 ", 91-44-811 5058  ,"",TAMIL NADU
339, completed - requirements ended  ," , 12-13-1173, Street #10,Tarnaka,Secunderabad,Telangana  500017 ", 91-40-27017700/7019315/7150107  ,"",TELANGANA
340, completed - requirements ended  ," , Vidya Vrikshah,,3, Tiruveedi Amman street. RK Nagar,,Chennai,Tamil Nadu  600 028 ", 011-91-44-24937926  ,"",TAMIL NADU
341, completed - requirements ended  ," , S-268,,Greater Kailash-II,,Delhi  110048 ", 91-11- 26074733/24961112  ,"",DELHI
342, completed - requirements ended  ," ,  44, Sant Kanwar Ram Nagar, Berasia Road,Bhopal,Madhya Pradesh  462018 ", 91-0755-730914 / 743157  ,"",MADHYA PRADESH
343, completed - requirements ended  ," , Andhjan Vividhlaxi Talim Kendra,,Jamnagar,Gujarat   ",   ,"",GUJARAT
344, completed - requirements ended  ," , Urmul Jyoti Sansathan (UJS),Sujangarh Road,Nokha,Rajasthan   ", (01531) 220595  ,"",RAJASTHAN
345, completed - requirements ended  ," , 106/9 Shiv Ganga Nagar,Shiv Mandir Road,Ambarnath(East),Maharashtra  421501 ", 0251-606111  ,"",MAHARASHTRA
347, completed - requirements ended  ," , ,,Karvi, Banda,Uttar Pradesh   ",   ,"",UTTAR PRADESH
349, current / ongoing  ," , Opp. Chitradurga Gramin Bank,Shivaganga Post,,Karnataka  577 526 ", (08191) 677316  ,"",KARNATAKA
350, completed - requirements ended  ," , Gram : Barahi (Natpurwa),Post: Sikroriha,,Uttar Pradesh  241001 ", (05854) 281920  ,"",UTTAR PRADESH
351, terminated  ," , Village Maradih, P.O. Kuru,,Distt. ? Lohardaga,,Jharkhand  835 213 ", 943 118 3081  ,"",JHARKHAND
352, completed - requirements ended  ," , #600 - 601, Irwin Road,,,Karnataka  570 001 ", 91-0821-565506 / 441197 / 3020  ,"",KARNATAKA
353, Proposal - Closed  ," , E-639,,Vaishali Nagar,Jaipur,,Rajasthan  302021 ",  91-141-2350196  ,"",RAJASTHAN
354, current / ongoing  ," , ,,Leingangching Village, Litan,Manipur   ",   ,"",MANIPUR
360, completed - requirements ended  ," , Olcott Memorial High School (O.M.H.S.),Besant Nagar,Chennai,Tamil Nadu  600090 ", +91-044-24915826  ,"",TAMIL NADU
362, Support ended.  ," , Swadhar, Anath Pangu Griha,96, Sadashiv Peth (Navi Peth),Pune,Maharashtra  411030 ", +91 20 25 46 26 26/27  ,"",MAHARASHTRA
363, current / ongoing  ," , Triveni, C/11, 5th floor,66 Walkeshwar road,Mumbai,Maharashtra  400006 ", 91 8419908564  ,"",MAHARASHTRA
364, completed - requirements ended  ," , ,,,Gujarat   ",   ,"",GUJARAT
367, completed - requirements ended  ," , 1305 A/B Vasant Kunj,,,Delhi  110070 ", 91-11-3645324 (Work); 91-11-68  ,"",DELHI
370, completed - requirements ended  ," , c/o Dr.Prasanna, President,Yadavallivaristreet,Kothapet,Andhra Pradesh  522001 ", +91 (0863) 2290293  ,"",ANDHRA PRADESH
375, completed - requirements ended  ," , 112/269, Swaroop Nagar,,Kanpur,Uttar Pradesh  208002 ", 91-512-2543375  ,"",UTTAR PRADESH
378, completed - requirements ended  ," , Mithram Rehabilitation Complex,,Kanjirikkappilly, Arakunnam P.O,,Kerala  682313 ", (91-484) 2748391  ,"",KERALA
381, completed - requirements ended  ," , CII/10, BAPA Nagar,,New Delhi,,Delhi  110003 ", +91-11-338-8900  ,"",DELHI
384, completed - requirements ended  ," , ,,,Gujarat   ",   ,"",GUJARAT
385, completed - requirements ended  ," , 21/322, Chinmaya Road,,,Fort, Tripunithura,Kerala  682301 ",   ,"",KERALA
386, completed - requirements ended  ," , Kuthambakkam Village Panchayat,,Kuthambakkam,Tamil Nadu  602107 ",   ,"",TAMIL NADU
389, completed - requirements ended  ," , Setwin Society,,2-7-8C/1 E.B. Colony,,,Tamil Nadu  624208 ",   ,"",TAMIL NADU
390, completed - requirements ended  ," , LAHRC,Nr. R.T.O., Ring Road,,Gujarat  395 001 "," (0261) 3475683, 472226  ","",GUJARAT
393, completed - requirements ended  ," , ,,,Gujarat   ",   ,"",GUJARAT
394, completed - requirements ended  ," , 184/14C, IIIrd Cross St, Jaya Nagar,,Thiruvallur District,Tamil Nadu  602001 ",   ,"",TAMIL NADU
396, completed - requirements ended  ," , Bhartiya Jan Seva Ashram,Ghansyampur road,Badlapur,Uttar Pradesh  222125 "," (05453)248580,cell:9415315091  ","",UTTAR PRADESH
397, current / ongoing  ," , Attn : Mr Prasanna Vadayar,298/C 7th main, 4th block jayanagar,Bangalore,Karnataka  560011 ", (91)804121 0762 (M)9972039890  ,"",KARNATAKA
398, completed - things went wrong  ," , Asha Samajik Vidyalaya, C/O Om Prakash,Near Power House, Via Babhnauli,Reoti,Uttar Pradesh  277209 ", 91-9335341150  ,"",UTTAR PRADESH
401, rejected  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
402, completed - requirements ended  ," , REaD Technical Education Center,R.K. Girls Inter College,,Tewaripur, UP,Uttar Pradesh   ",   ,"",UTTAR PRADESH
403, completed - requirements ended  ," , ,,Padel,Maharashtra   ",   ,"",MAHARASHTRA
404, completed - things went wrong  ," , Fatehpur Nattha, PO. Bilari, Jila Muradabad, U.P. 202411,,,Uttar Pradesh  202411 ", 91- 9412839020  ,"",UTTAR PRADESH
405, completed - requirements ended  ," , Tamil Nadu Science Forum 130/3,,Avvai Shanmugam Salai, Gopalapuram,,Tamil Nadu  600086 ", (011)-(91)-44-28113630  ,"",TAMIL NADU
408, completed - requirements ended  ," , 1A,Kalaigner Karunanidhi Street,,Melnallathur and Post, Thiruvallur District, ,Thiruvallur,Tamil Nadu  602002 ", 91 9443340137  ,"",TAMIL NADU
409, completed - requirements ended  ," , Mother India Community Development Association,,11-42, NGO,Puttur,Andhra Pradesh  517 583 ", (91) - 98577 - 31782  ,"",ANDHRA PRADESH
410, completed - requirements ended  ," , Vivekanandanagara,Post Kukkundoor(West),,Karnataka  576117 ",   ,"",KARNATAKA
412, Support ended.  ," , Secretary, Matimand Shikshan Mandal, Mamata Vidyalala,Pragat Hospital, Dhulia Road,Amalner,Maharashtra  425401 ", (02587)225512; (02587)222293  ,"",MAHARASHTRA
413, completed - requirements ended  ," , ,,,Andhra Pradesh   ",   ,"",ANDHRA PRADESH
414, current / ongoing  ," , Vikasana,,P.B.No.23, Galihalli cross,Tarikere taluk,Chikmagalur Dist.,Tarikere,Karnataka  577228 ", 011 91 8261422570  ,"",KARNATAKA
415, completed - requirements ended  ," , Bahujana Hitaya Education Trust,P.O. Bishnupur, Manu Bankul,Sabroom, South Tripura,Tripura   "," 91-3823-275295, 275329  ","",TRIPURA
416, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
417, completed - sustainable  ," , ,,,Jammu and Kashmir   ",   ,"",JAMMU AND KASHMIR
418, completed - requirements ended  ," , Plot 60, Satavahana HMT Colony,Kukatpally,Hyderabad,Andhra Pradesh  500072 ", 9848235103  ,"",ANDHRA PRADESH
419, current / ongoing  ," , Assam Center for Rural Development,  29, PB Road,P.O.-Rihabari,Guwahati,Assam  781008 ", 091-361-2632672  ,"",ASSAM
421, completed - requirements ended  ," , Samrakshan-Kuno Project,,Village Agraa, Tehsil Vijaypur,Madhya Pradesh  466332 ",   ,"",MADHYA PRADESH
422, completed - sustainable  ," , 375 East street,Karumbalai,Madurai,Tamil Nadu  625020 ", 91 7667484643  ,"",TAMIL NADU
423, completed - requirements ended  ," , Manik Avghade,c/0 Mahadeo Jadhav,Saidapur,Maharashtra  415110 ", 02164 272921  ,"",MAHARASHTRA
424, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
426, completed - requirements ended  ," , Shree Guru Gorakanath Shale,Tarihal Road, Behind Steel Factory,Gokul,Karnataka  580030 ", +91-836-2210672  ,"",KARNATAKA
429, completed - requirements ended  ," , 1846, 3rd Main, Block,Sahakaranagara,Bangalore,Karnataka  560092 ", 91-80-3635225/3635782  ,"",KARNATAKA
430, completed - requirements ended  ," , Ashadeep, Jayanagar Cross,,Dharwad,Karnataka  580 001 ", 08373-860131/861890  ,"",KARNATAKA
435, completed - sustainable  ," , Bokaro office: Peace Bird Society  India,Railway Temple Colony, D/S 1/134A,Bokaro Steel City,Jharkhand  10 ", 91-6542-53209  ,"",JHARKHAND
437, completed - sustainable  ," , ,,,Gujarat   ",   ,"",GUJARAT
439, completed - requirements ended  ," , 58 Chinnakulandai Main Street, Maduma Nagar,Perambur, Chennai - 11,  India,Chennai,Tamil Nadu  11 ", 91 44 558-1590  ,"",TAMIL NADU
440, completed - requirements ended  ," , ASHA ""SPASS,Bhandahan Kala,  PO Kaithi,Vyaspur,Uttar Pradesh  221116 ",   ,"",UTTAR PRADESH
441, Proposal - Closed  ," , No 2, 2nd Cross, Ganesha Block,,Dinnur Main Road, RT Nagar, Bangalore,Karnataka  560032 ", 91-80-3334515  ,"",KARNATAKA
443, completed - sustainable  ," , ,,,West Bengal   ",   ,"",WEST BENGAL
444, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
450, completed - requirements ended  ," , ,,Kanpur,Uttar Pradesh   ", 0512-2770072  ,"",UTTAR PRADESH
451, completed - requirements ended  ," , Vijaya Saw Mill, Kumta (N Kanara),Karnataka,Divgi,Karnataka  583143 ", +91 838 662 2064  ,"",KARNATAKA
452, completed - requirements ended  ," , Asha,A-893 Indiara Nagar,Lucknow,Uttar Pradesh  226016 ", 91-983-942-2521  ,"",UTTAR PRADESH
453, completed - requirements ended  ," , 94/17, Arvind Society,S.No.29, Anand Nagar, Hingne (Ku.),Pune,Maharashtra  411051 "," +91-20-4351805, +91-20-4357445  ","",MAHARASHTRA
455, completed - requirements ended  ," , Hazinagar, Lichutala,P.O. Chandannagar, Dist. Hooghly,,West Bengal  712136 ", 91-33-2683-5511  ,"",WEST BENGAL
456, completed - requirements ended  ," , ,,Bhuj,Gujarat   ",   ,"",GUJARAT
457, rejected  ," , #460, N.S.K. Nagar,,Chennai,Tamil Nadu  600 106 "," +91-44-6216321, 621 6421  ","",TAMIL NADU
458, current / ongoing  ," , H. No. 100 , Village and Post,Sushuwahi ,Karmnavir,Uttar Pradesh  221005 ", 0542 318574  ,"",UTTAR PRADESH
463, completed - requirements ended  ," , C/O Anil Kumar, OM Nagar Colony,Beripur, Sarnath Lane No 1,,Uttar Pradesh  221002 ",   ,"",UTTAR PRADESH
464, completed - requirements ended  ," , 18B, Shipra Sun City, Indirapuram, Gaziabad,,Noida,Uttar Pradesh  201010 ", 0120 2912219  ,"",UTTAR PRADESH
465, completed - requirements ended  ," , AG- 17, Shalimar Bagh,,Delhi,Delhi  110088 ", 91-11-27478956  ,"",DELHI
466, completed - things went wrong  ," , B 8/77-A Bara Gambhir Singh,Bhelupura,Varanasi,Uttar Pradesh   ", 91-542-23411339/2276413  ,"",UTTAR PRADESH
472, completed - requirements ended  ," , Vanashree trust,Joga Road,Sagar,Karnataka  577401 ", 91-8183-326996  ,"",KARNATAKA
473, completed - requirements ended  ," , Gaya Dobhi Road (Near Magadh University Bodhgaya),P.O Magadh University Postoffice Bodhgaya District,Gaya,Bihar  824234 ", + 91 - 631 2200657  ,"",BIHAR
474, terminated  ," , C-15, Chiragh Enclave,,New Delhi,Delhi  110 048 "," +91 11 2626 9915, 9811424877  ","",DELHI
476, completed - requirements ended  ," , ,,Loni,Maharashtra   ",   ,"",MAHARASHTRA
481, Support ended.  ," , ,,,Karnataka   ",   ,"",KARNATAKA
483, Proposal - Closed  ," , ,,,Gujarat   ",   ,"",GUJARAT
484, completed - requirements ended  ," , Door No  1-14, Teachers colony Road,Pappireddy palle,Madanapalle Mandal,Andhra Pradesh   ",   ,"",ANDHRA PRADESH
485, completed - requirements ended  ," , Hanchipura Road,,Saragur,,Karnataka  571 121 ", 91-821-24541  ,"",KARNATAKA
486, completed - requirements ended  ," , Jakkur Village, Yelahanka,,Bangalore,Karnataka  64 ", 56696702 / 28461949 / 98440640  ,"",KARNATAKA
489, completed - requirements ended  ," , Sulochana Gardens,P O Box No. 001, 7-4-104B, Tenkasi Road,Ayikudy,Tamil Nadu  627 852 ", +(91) 4633-267170 / 267160  ,"",TAMIL NADU
490, completed - requirements ended  ," , C. A. Site 14, 6th A Cross,Vth Phase, Newtown,Yelahanka,Karnataka  560064 ", 802-846-3992  ,"",KARNATAKA
491, Proposal - Closed  ," , 1/75 Anita Nursery & Primary School,Opp. RBS College, Madia Katra,Agra,Uttar Pradesh  282002 ", 562 2153807  ,"",UTTAR PRADESH
494, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
495, completed - requirements ended  ," , Mann Vikas Samjik Sanstha,Mann Deshi Mahila Bank, Ltd,Mhaswad,Maharashtra  415509 ", 91-2373-270119  ,"",MAHARASHTRA
496, completed - requirements ended  ," , ,,Dhedhuki,Gujarat   ",   ,"",GUJARAT
497, Support ended.  ," , c/o Mrs. Madhuri Deshpande, Fergusson College Campus,,Gate No. 1, Bungalow No. 2, Shivaji Nagar,Pune,Maharashtra  411004 ", 91-20-2546-2626 (Office)  ,"",MAHARASHTRA
499, completed - requirements ended  ," , Vedaansh Campus,  Harishandra Vihar,Tikli Tola, Ranchi,Jharkand, India,Jharkhand  834008 "," 716 568 1064, 716 898 4705 (NY  ","",JHARKHAND
500, completed - requirements ended  ," , Plot No. 676 Vivekananda Nagar Colony,Kukatpally,Hyderabad,Telangana  500 072 "," 9848235103, 9866125848  ","",TELANGANA
502, completed - requirements ended  ," , 234 Kapaleeswarar Nagar,,Neelankarai,Tamil Nadu  600041 ", 24490842  ,"",TAMIL NADU
503, completed - requirements ended  ," , 3, Tiruveedi Amman St, R.K.Nagar,,Chennai,Tamil Nadu  600 028 "," (91) 44-4937926, 4936358  ","",TAMIL NADU
504, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
505, current / ongoing  ," , First Floor, 85/2, Luz Avenue, Mylapore, Chennai 600004,Near Nageswara rao park ,Chennai,Tamil Nadu  600004 ", 91-9840820210  ,"",TAMIL NADU
510, completed - requirements ended  ," , Moirang Lamkhai,Moirang Lamkhai,Moirang,Manipur  795133 ", 913879262399  ,"",MANIPUR
512, completed - requirements ended  ," , Premkuti,,Pokharkhali,Uttaranchal  263601 ", (91) 94129-52639  ,"",UTTARAKHAND
517, completed - requirements ended  ," , Helen Keller Memorial Association for the Blind,Lakshmipuram,,Andhra Pradesh   ", 91-891-2550174  ,"",ANDHRA PRADESH
520, completed - requirements ended  ," , Suvidya #206, 30th A Cross, 9th Main,Jayanagar,Bangalore,Karnataka  560041 ", 080 - 56700142  ,"",KARNATAKA
521, completed - requirements ended  ," , Pindval, Taluka: Dharampur, Jilla: Valsad,Gujarat,,Gujarat  396050 ", c/o 02633-242-367  ,"",GUJARAT
525, rejected  ," , AT, POSTAND TALUKA SHIRPUR,,SHIRPUR, MAIN ROAD,Shirpur,Maharashtra  425405 ", 91 2563 255561  ,"",MAHARASHTRA
527, completed - requirements ended  ," , Haritha Ecological Institute,P.O.Box No.26,Paloncha,Telangana  507115 ", (91) 939-738-2796  ,"",TELANGANA
529, completed - requirements ended  ," , c/o Meenakshi Balasubramanian,A 1007, Marvel Apoorva Apts, Kalasathamman Koil St, Ramavara,,Tamil Nadu  600089 ",   ,"",TAMIL NADU
530, completed - requirements ended  ," , 527, Khatiwala Tank,,Indore,Madhya Pradesh  452014 ", 91-731-2472848  ,"",MADHYA PRADESH
531, Proposal - Closed  ," , Anand Nagar Cross Road,Bandlaguda,,Nagole,Hyderabad,Andhra Pradesh   ", +91 (040) - 23513189  ,"",ANDHRA PRADESH
532, completed - requirements ended  ," ,  SF/8, Rajnagar Complex, Narayan Nagar Road,Near NID, Paldi,Ahmedabad,Gujarat  380 007 ", 91 - (79) - 26634655/66/77  ,"",GUJARAT
533, completed - requirements ended  ," , ,,,Jammu and Kashmir   ",   ,"",JAMMU AND KASHMIR
534, Proposal - Closed  ," , George Educational, Medical & Charitable Society (Gems Found,P.O Box 1076, Pattom,Trivandrum,Kerala  695004 "," 91-0471-2540272, 2540888, 2540  ","",KERALA
535, completed - sustainable  ," , High School,,Kondlahalli,Karnataka   ",   ,"",KARNATAKA
537, completed - requirements ended  ," , Santiniketan Sishutirtha, Sohini, Diganta palli,Santiniketan,Santiniketan,West Bengal  731235 "," (03463) 261080, 261105  ","",WEST BENGAL
548, Proposal - Closed  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
549, completed - requirements ended  ," , Anugriha Charitable Trust,3/31, Arasavanangadu,Sembangudim,Tamil Nadu  612603 ",   ,"",TAMIL NADU
552, proposal-evaluation by chapter  ," , ,,,West Bengal   ",   ,"",WEST BENGAL
553, completed - requirements ended  ," , TN Coordination Office: A ?1, Monisha Sriram Flats, # 9,,Kulothungan Cross street, Chittlapakkam,,Chennai,Tamil Nadu  600 064 ", 044 ? 2223 5133  ,"",TAMIL NADU
554, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
555, current / ongoing  ," , No.383. Ambethkar  Nagar, Kaivandur  post and village,Thiruvallur district,Thiruvallur,Tamil Nadu  631203 ", 91-9444404060  ,"",TAMIL NADU
558, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
559, completed - requirements ended  ," , Nemmeli, Perur Post, Kanchipuram Dist.,,,,Tamil Nadu  603104 ",   ,"",TAMIL NADU
562, completed - requirements ended  ," , 153A, Block-G, New Alipore, Kolkata,,,West Bengal  700053 ", 33-24783543  ,"",WEST BENGAL
564, completed - requirements ended  ," , No.23 (I Floor), LAWYER CHINNTHAMBI STREET,KONDITHOPE,CHENNAI,Tamil Nadu  79 ", 91-044-25204822  ,"",TAMIL NADU
565, completed - requirements ended  ," , Unit 5, Subkesha Complex,Kelamangalam Road,Mathigiri,Tamil Nadu  635110 ", 04344-262668  ,"",TAMIL NADU
567, completed - requirements ended  ," , Vivek Nagar, Kumta,,,Karnataka  581343 ", +91 (838) 622-2064  ,"",KARNATAKA
568, completed - requirements ended  ," , Kalyan Sangha,Dist: Purba  Medinipur,Deulpota P.O. Barbasudevpur,West Bengal  721645 ", +91-3224-286673  ,"",WEST BENGAL
572, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
573, completed - requirements ended  ," , Voluntary Health Association of Tripura,CIRCUIT HOUSE AREA,P.O. KUNJABAN,Tripura  799 006 "," (0381) 222 2849,  230 0482  ","",TRIPURA
574, current / ongoing  ," , Vigyan Ashram,Hwy 54,Pabal,Maharashtra  412403 ", 011 91 20 25360203  ,"",MAHARASHTRA
575, completed - requirements ended  ," , Mother India Community Development Association (MICDA),24-16, NGO,Puttur,Andhra Pradesh  517583 ", (91)-98577-31782  ,"",ANDHRA PRADESH
577, completed - things went wrong  ," , Bhagwan Shri Ram,,Village Sotai, Distt. Ballabga,Haryana   "," 0129-2207144, 0129-2244008  ","",HARYANA
578, current / ongoing  ," ,  Puvidham Rural Development Trust,Nagarkooda Village Post,Nagarkooda Village Post,Tamil Nadu  636803 ", 91-4342-311641  ,"",TAMIL NADU
579, current / ongoing  ," ,  184/14C-2 Jayanagar,,,,Tamil Nadu   "," 9884080048(C), 44-65519972(H)  ","",TAMIL NADU
582, completed - requirements ended  ," , Kacchi Colony,,Tughlakabad,Delhi   ",   ,"",DELHI
583, Proposal - Closed  ," , Vigyan Vijay Foundation, H-2/2-5, Mahavir Enclave,,Palam-Dabri Road,New Delhi,Delhi  110045 "," 01120551616, 9810248197, 98104  ","",DELHI
585, Support ended.  ," , Chandranagar and Kumaraswamy Layout,,Bangalore,Karnataka   ",   ,"",KARNATAKA
586, completed - requirements ended  ," , VR Pillai Street,,Chepauk, Chennai,Tamil Nadu   ",   ,"",TAMIL NADU
587, current / ongoing  ," , Periya paalayathu amman  Kovil street,Old mamallapuram road, Thandalam village,Thirupporur,Tamil Nadu  603110 ", 011-91-9442531003  ,"",TAMIL NADU
590, current / ongoing  ," , 3 ,Bhairavi,Anupuram,Tamil Nadu  603127 ", 011 91 9865605199   ,"",TAMIL NADU
591, completed - requirements ended  ," , Red Hills,,,Tamil Nadu   ", 9884080048 (C)  ,"",TAMIL NADU
592, current / ongoing  ," , c/o K.T. Meril, Jerusalem Colony,behind Jerusalem Colony,Bidar,Karnataka  585401 ", 91-08482-224160  ,"",KARNATAKA
594, completed - requirements ended  ," , H2/103, Sarsuna Satellite Township,Sakuntala Park,,West Bengal  700 061 ", 091-33-2455-1174  ,"",WEST BENGAL
597, proposal-evaluation by chapter  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
598, proposal-evaluation by chapter  ," , Keelamanakudi  and Malamanakudi in Kanyakumari District,,,Tamil Nadu   ",   ,"",TAMIL NADU
599, completed - requirements ended  ," , Sinthanai Sirpi Nursery and Primary School,No: 32A, Amman Koil Back Side, Akkarapettai,Nagapattinam,Tamil Nadu  611 106 ", 04365-225082  ,"",TAMIL NADU
600, current / ongoing  ," , House No.A.37, Vidyadhi Raja Nagar,Poojappura,Tiruvananthpuram,Kerala  695012 ", 91-80-23438840  ,"",KERALA
601, completed - sustainable  ," , c/o Tribal Health Initiative,Sittilingi,Theerthamalai P.O.,Tamil Nadu  636906 ", 011-91-4346-299197  ,"",TAMIL NADU
602, completed - requirements ended  ," , 13/1, 9th G Main Road, 6th Cross, Behind BBMC Maternity Hosp,Byraveshwaranagar,Bangalore,Karnataka  560072 ", 91 80 23204875  ,"",KARNATAKA
603, completed - sustainable  ," , Uday Learning Centre, Ranthambhor Road,Opposite Hotel City Heart,Sawai Madhopur,Rajasthan  322001 ", 917462220957  ,"",RAJASTHAN
604, completed - requirements ended  ," , 6th Main Road,Mogapair ERI Scheme,Chennai,Tamil Nadu  600037 ", 0091-44-26530504  ,"",TAMIL NADU
610, completed - requirements ended  ," ,  No:22, Bhimeshwara Nagar, 4th street,Mudichur, Tambaram,Chennai,Tamil Nadu  600048 ", (044) 22762180  ,"",TAMIL NADU
611, current / ongoing  ," , Bhandahan Kala,Post Kaithi,Kaithi,Uttar Pradesh  221116 ", 91 542 2618201  ,"",UTTAR PRADESH
614, completed - requirements ended  ," , Village/PO Mankaiyan Mizamurad,,,,Uttar Pradesh   ", +91 9935956075  ,"",UTTAR PRADESH
615, completed - requirements ended  ," , Vill. Ganuguria, P.O. Ashrafpur, Via Pakuahat,,Maldah,West Bengal  732138 ", 03511-266860  ,"",WEST BENGAL
616, Support ended.  ," , H.NO.9-5-469 (N), Hyder colony, opp. New KEB,,Chidri Road,,Bidar,Karnataka  585403 ", 94485 54584 (Mr. Dilip Kumar)  ,"",KARNATAKA
617, completed - requirements ended  ," , Ulsoor,,Bangalore,Karnataka   ",   ,"",KARNATAKA
